Feature,Importance_Mean,Importance_SD
WALLS_DESCRIPTION,0.04315,0.00782
ROOF_DESCRIPTION,0.02068,0.00392
CONSTRUCTION_AGE_GROUP,0.01498,0.00516
HOTWATER_DESCRIPTION,0.01415,0.0018
BUILT_FORM,0.01193,0.00258
MAINHEATCONT_DESCRIPTION,0.01162,0.00451
MAINHEAT_DESCRIPTION,0.01086,0.00162
GLAZED_TYPE,0.01071,0.00522
BUILDING_STRUCTURE_TYPE,0.01052,0.00339
PROPERTY_TYPE,0.01023,0.00737
WINDOWS_DESCRIPTION,0.00955,0.00459
FLOOR_AREA_BAND,0.00834,0.00253
FLOOR_DESCRIPTION,0.00775,0.00359
MAIN_FUEL_GROUP,0.0069,0.00168
MAIN_FUEL,0.00664,0.00205
CONSTRUCTION_AGE_BAND,0.0061,0.00347
FLOOR_HEIGHT,0.00601,0.00456
AREA_PER_HABITABLE_ROOM,0.00594,0.00421
FIXED_LIGHTING_OUTLETS_COUNT,0.0059,0.00281
NUMBER_OPEN_FIREPLACES,0.00487,0.00169
GLAZING_GROUP,0.0,0.0
MAINS_GAS_FLAG,0.0,0.0
SOLAR_WATER_HEATING_FLAG,0.0,0.0
LOW_ENERGY_LIGHTING_GROUP,0.0,0.0
MECHANICAL_VENTILATION,0.0,0.0
GLAZED_AREA,0.0,0.0
EXTENSION_COUNT,0.0,0.0
TOTAL_FLOOR_AREA,0.0,0.0
MULTI_GLAZE_PROPORTION,0.0,0.0
FLOOR_LEVEL,0.0,0.0
LOW_ENERGY_LIGHTING,0.0,0.0
NUMBER_HEATED_ROOMS,0.0,0.0
NUMBER_HABITABLE_ROOMS,0.0,0.0
WIND_TURBINE_COUNT,0.0,0.0
PHOTO_SUPPLY,0.0,0.0
HEATED_ROOM_RATIO,0.0,0.0
OPEN_FIREPLACE_FLAG,0.0,0.0
RENEWABLE_SYSTEM_FLAG,0.0,0.0
